#IID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
004_CB_ATP_CHN_F	0.0765085	0.193343	-0.018612	0.0600535	0.0884595	-0.0486127	0.000131963	0.00533949	-0.0858948	0.0229558
005_CB_ORW_CHN_M	0.0937407	0.162532	-0.102428	-0.0722049	0.0367562	0.0101884	-0.419595	0.0132941	0.182214	-0.0501022
006_CB_ATP_CHN_F	0.0777761	0.182455	-0.0219836	0.0571298	0.0868417	-0.0408584	-0.00469332	0.0104966	-0.0740733	0.0207162
007_CB_ATP_CHN_F	0.0766419	0.192571	-0.0175568	0.0640871	0.0902001	-0.050822	0.00677521	0.0130869	-0.0911235	0.0226078
008_CC_RED_FIN_M	-0.0498606	-0.00409136	0.0285682	0.0376311	-0.0329348	0.0594252	-0.0504456	0.0712895	-0.0752455	0.0159208
009_CC_RED_FIN_M	-0.0501729	-0.006978	0.0266073	0.0340761	-0.0353892	0.0609298	-0.0505382	0.0664228	-0.0676262	0.0152294
010_CC_RED_FIN_F	-0.0478088	-0.00442298	0.027644	0.032974	-0.0346449	0.0507686	-0.046517	0.0528995	-0.0372271	0.0234396
013_CC_GRW_HUN_F	-0.0642858	0.000787892	0.0373875	-0.0916836	0.0584772	-0.041128	0.00279017	0.0184552	0.0114792	0.0384293
014_CC_GRW_HUN_F	-0.064329	0.000499075	0.0279714	-0.0893181	0.055643	-0.0447859	-0.00355392	0.0382554	0.0193638	0.10476
016_CC_GRW_HUN_F	-0.0653542	0.00278194	0.0550489	-0.162181	0.0955239	-0.12273	0.0337915	0.142416	-0.0222242	-0.246339
017_CC_GRW_HUN_F	-0.0659745	-0.000723167	0.0452319	-0.178652	0.101719	-0.135829	0.0180425	0.171436	-0.174656	-0.340567
018_CC_GRW_HUN_M	-0.0660298	0.00273283	0.0485181	-0.17467	0.104194	-0.148544	0.0416606	0.155971	0.171169	0.488339
022_CC_RED_FIN_F	-0.0499622	-0.00746428	0.0389505	0.0513988	-0.056161	0.119308	-0.111867	0.209497	-0.263928	0.0960257
023_CC_RED_FIN_F	-0.0498128	-0.00482112	0.0282512	0.03695	-0.0427632	0.0715165	-0.0606396	0.11553	-0.106299	0.0257403
024_CC_RED_FIN_M	-0.0497071	-0.00590974	0.0257649	0.0314889	-0.0279916	0.0392585	-0.0348226	0.0550955	-0.032239	0.0247204
028_CC_BRA_FIN_F	-0.0469093	-0.00742454	0.02344	0.0381629	-0.0339956	0.0417459	-0.03751	0.0562101	-0.0325491	0.0154646
029_CC_BRA_FIN_F	-0.0454722	-0.00753063	0.0274554	0.0404247	-0.0385457	0.0451462	-0.0399347	0.0606102	-0.0418945	0.0126173
030_CC_MPT_NOR_F	-0.0558351	-0.00836033	-0.0154917	0.0451389	-0.0302543	0.0361679	-0.034317	0.0569719	-0.0433114	0.00225276
031_CC_MPT_SWE_F	-0.0512615	-0.00898809	0.00602153	0.0426027	-0.0277709	0.0439357	-0.0304332	0.057863	-0.032503	0.0225431
032_CC_MPT_NOR_M	-0.0544798	-0.0106757	-0.0215139	0.0426855	-0.0311564	0.0300088	-0.0294772	0.0572284	-0.0391839	0.00563684
033_CC_MPT_NOR_M	-0.0542243	-0.00637763	-0.0057748	0.0379987	-0.0309788	0.0356764	-0.0346069	0.0540243	-0.0339598	0.0218644
034_CC_MPT_NOR_F	-0.0537487	-0.00492861	-0.0030348	0.0393932	-0.0296892	0.0399712	-0.0271478	0.0701425	-0.0383411	0.0108585
035_CC_MPT_NOR_F	-0.0547828	-0.00763419	-0.0152995	0.0411443	-0.0318681	0.033356	-0.0300309	0.0545807	-0.0320871	0.00162935
036_CC_MPT_NOR_F	-0.0579937	-0.0084768	-0.0404557	0.0470179	-0.0298869	0.0172552	-0.0214606	0.0537026	-0.043914	0.00823164
037_CC_ERW_DNK_M	-0.0636556	-0.00639576	-0.0349486	0.0240769	-0.0155368	0.0242849	-0.0304059	0.0343043	-0.0536488	0.0208655
038_CC_ERW_DNK_F	-0.0625573	-0.00555206	-0.0280878	0.0266908	-0.0156559	0.0295079	-0.0229064	0.0409943	-0.0382337	0.0207751
039_CC_ERW_DNK_F	-0.0631857	-0.00606868	-0.0272585	0.0245647	-0.016123	0.0274025	-0.034523	0.0490247	-0.0500577	0.0215774
042_CC_GRW_HUN_F	-0.0630646	0.00152931	0.0392707	-0.0853942	0.0518251	-0.0280739	-0.00542712	-0.00424195	-0.0179451	-0.045637
043_CC_RED_FIN_F	-0.0499749	-0.00379317	0.0347239	0.0453279	-0.0434902	0.0955993	-0.0920579	0.135912	-0.191777	0.0698419
053_CC_RED_FIN_F	-0.0477277	-0.00902493	0.0253359	0.0313415	-0.0369357	0.0462228	-0.0308633	0.033907	-0.0278619	-0.00238163
056_CC_COR_BGR_F	-0.0615172	3.25449e-05	0.0204834	-0.0248096	0.0187828	0.0143233	-0.0143471	-0.0673004	-0.0137507	-0.00777326
057_CC_COR_BGR_F	-0.0615078	0.000271308	0.018044	-0.0208753	0.00876052	0.0211587	-0.0266968	-0.0855411	-0.0329631	0.0068524
058_CC_COR_BGR_F	-0.0614434	0.00101785	0.0235199	-0.0278347	0.0151598	0.0283916	-0.0129579	-0.114383	-0.0439514	0.00287805
059_CC_COR_BGR_M	-0.0613426	8.81153e-05	0.0174482	-0.0223041	0.0120809	0.0167181	-0.010331	-0.0544414	-0.0165103	-0.0210011
061_CC_GRW_BGR_F	-0.0573579	0.00509913	0.0390437	-0.0162125	0.0139016	0.0321157	-0.0146555	-0.0886375	0.00443571	-0.00936508
062_CC_GRW_BGR_F	-0.0609216	0.00260032	0.0476356	-0.0579021	0.0378663	0.029133	-0.0378256	-0.38742	-0.0955155	0.0697363
